"electric field:0","electric field:1","electric field:2","potential","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0210687,-1.94437,-39549.1,0.00113137,3,1,0,0,2.4,-2.53
-0.0160336,-2.25195,-39549.2,200.099,3,1,0.00505996,0,2.4,-2.52494
0.0800536,-3.23492,-39548.5,400.217,3,1,0.0101199,0,2.4,-2.51988
0.177675,-4.23376,-39547.9,600.335,3,1,0.0151799,0,2.4,-2.51482
0.275302,-5.23264,-39547.2,800.463,3,1,0.0202401,0,2.4,-2.50976
0.429343,-6.47763,-39546.3,1000.58,3,1,0.0253,0,2.4,-2.5047
0.69336,-8.25722,-39544.9,1200.69,1,1,0.03036,0,2.4,-2.49964
0.752754,-8.92105,-39544.7,1400.78,1,1,0.0354199,0,2.4,-2.49458
0.751902,-9.65308,-39544.6,1600.88,1,1,0.0404799,0,2.4,-2.48952
0.741569,-10.3781,-39544.5,1800.97,1,1,0.0455399,0,2.4,-2.48446
0.731235,-11.1032,-39544.4,2001.08,1,1,0.0506001,0,2.4,-2.4794
0.720902,-11.8283,-39544.3,2201.17,1,1,0.05566,0,2.4,-2.47434
0.731417,-12.3858,-39544.1,2401.27,1,1,0.06072,0,2.4,-2.46928
0.769331,-12.7232,-39543.8,2601.37,1,1,0.0657799,0,2.4,-2.46422
0.807245,-13.0606,-39543.5,2801.47,1,1,0.0708399,0,2.4,-2.45916
0.845162,-13.398,-39543.2,3001.58,1,1,0.0759001,0,2.4,-2.4541
0.883076,-13.7353,-39542.9,3201.68,1,1,0.08096,0,2.4,-2.44904
0.917484,-14.0774,-39542.6,3401.79,1,1,0.08602,0,2.4,-2.44398
0.887859,-14.422,-39542.3,3601.88,1,1,0.09108,0,2.4,-2.43892
0.842191,-14.7305,-39542.1,3801.95,1,1,0.0961399,0,2.4,-2.43386
0.796522,-15.039,-39541.9,4002.02,1,1,0.1012,0,2.4,-2.4288
0.848131,-15.2126,-39541.4,4202.09,1,1,0.10626,0,2.4,-2.42374
0.929993,-15.3444,-39540.9,4402.16,1,1,0.11132,0,2.4,-2.41868
1.01186,-15.4761,-39540.3,4602.22,1,1,0.11638,0,2.4,-2.41362
1.09372,-15.6079,-39539.7,4802.28,1,1,0.12144,0,2.4,-2.40856
1.17558,-15.7396,-39539.2,5002.35,1,1,0.1265,0,2.4,-2.4035
1.25745,-15.8714,-39538.6,5202.42,1,1,0.13156,0,2.4,-2.39844
1.33931,-16.0031,-39538.1,5402.48,1,1,0.13662,0,2.4,-2.39338
1.69072,-16.1244,-39537.1,5602.55,1,1,0.14168,0,2.4,-2.38832
1.81077,-15.4554,-39535.5,5802.61,1,1,0.14674,0,2.4,-2.38326
1.93083,-14.7864,-39534,6002.66,1,1,0.1518,0,2.4,-2.3782
1.94489,-14.0988,-39532.7,6202.7,1,1,0.15686,0,2.4,-2.37314
1.70583,-13.3937,-39531.8,6402.71,1,1,0.16192,0,2.4,-2.36808
1.46678,-12.6886,-39530.9,6602.71,1,1,0.16698,0,2.4,-2.36302
1.22774,-11.9834,-39530,6802.72,1,1,0.17204,0,2.4,-2.35796
1.08737,-11.5784,-39529.5,7002.72,1,1,0.1771,0,2.4,-2.3529
0.997218,-11.3261,-39529.2,7202.73,1,1,0.18216,0,2.4,-2.34784
0.907069,-11.0737,-39528.8,7402.74,1,1,0.18722,0,2.4,-2.34278
0.816916,-10.8214,-39528.5,7602.76,1,1,0.19228,0,2.4,-2.33772
0.726767,-10.5691,-39528.2,7802.77,1,1,0.19734,0,2.4,-2.33266
0.636618,-10.3167,-39527.9,8002.78,1,1,0.2024,0,2.4,-2.3276
0.546469,-10.0644,-39527.5,8202.79,1,1,0.20746,0,2.4,-2.32254
0.424248,-9.7905,-39527.2,8402.8,1,1,0.21252,0,2.4,-2.31748
0.18609,-9.43501,-39527.2,8602.81,1,1,0.21758,0,2.4,-2.31242
0.118522,-9.16639,-39527.2,8802.8,1,1,0.22264,0,2.4,-2.30736
0.0463599,-8.90056,-39527.2,9002.8,1,1,0.2277,0,2.4,-2.3023
-0.0537633,-8.66299,-39527.1,9202.79,1,1,0.23276,0,2.4,-2.29724
-0.143342,-8.44253,-39526.9,9402.8,1,1,0.23782,0,2.4,-2.29218
-0.23292,-8.22207,-39526.8,9602.8,1,1,0.24288,0,2.4,-2.28712
-0.322502,-8.0016,-39526.6,9802.81,1,1,0.24794,0,2.4,-2.28206
-0.412081,-7.78115,-39526.4,10002.8,1,1,0.253,0,2.4,-2.277
-0.501659,-7.56069,-39526.3,10202.8,1,1,0.25806,0,2.4,-2.27194
-0.591237,-7.34023,-39526.1,10402.8,1,1,0.26312,0,2.4,-2.26688
-0.660172,-7.15483,-39526,10602.8,1,1,0.26818,0,2.4,-2.26182
-0.649013,-7.10546,-39525.8,10802.8,1,1,0.27324,0,2.4,-2.25676
-0.637854,-7.05609,-39525.7,11002.8,1,1,0.2783,0,2.4,-2.2517
-0.639234,-6.93075,-39525.6,11202.8,1,1,0.28336,0,2.4,-2.24664
-0.640529,-6.80592,-39525.5,11402.8,1,1,0.28842,0,2.4,-2.24158
-0.641824,-6.68109,-39525.4,11602.8,1,1,0.29348,0,2.4,-2.23652
-0.650497,-6.56581,-39525.4,11802.8,1,1,0.29854,0,2.4,-2.23146
-0.733638,-6.54685,-39525.3,12002.8,1,1,0.3036,0,2.4,-2.2264
-0.816775,-6.5279,-39525.3,12202.8,1,1,0.30866,0,2.4,-2.22134
-0.898424,-6.50897,-39525.2,12402.8,1,1,0.31372,0,2.4,-2.21628
-0.798399,-6.49252,-39525.1,12602.8,1,1,0.31878,0,2.4,-2.21122
-0.698374,-6.47607,-39524.9,12802.8,1,1,0.32384,0,2.4,-2.20616
-0.653869,-6.39598,-39524.8,13002.8,1,1,0.3289,0,2.4,-2.2011
-0.633883,-6.28777,-39524.8,13202.8,1,1,0.33396,0,2.4,-2.19604
-0.613898,-6.17957,-39524.7,13402.8,1,1,0.33902,0,2.4,-2.19098
-0.593912,-6.07136,-39524.7,13602.8,1,1,0.34408,0,2.4,-2.18592
-0.573927,-5.96316,-39524.6,13802.8,1,1,0.34914,0,2.4,-2.18086
-0.553942,-5.85496,-39524.6,14002.8,1,1,0.3542,0,2.4,-2.1758
-0.533956,-5.74675,-39524.5,14202.8,1,1,0.35926,0,2.4,-2.17074
-0.51397,-5.63855,-39524.4,14402.8,1,1,0.36432,0,2.4,-2.16568
-0.493985,-5.53034,-39524.4,14602.8,1,1,0.36938,0,2.4,-2.16062
-0.474,-5.42214,-39524.3,14802.8,1,1,0.37444,0,2.4,-2.15556
-0.479691,-5.27394,-39524.3,15002.8,1,1,0.3795,0,2.4,-2.1505
-0.364378,-5.11196,-39524.2,15202.8,1,1,0.38456,0,2.4,-2.14544
-0.315386,-4.99545,-39524.2,15402.8,1,1,0.38962,0,2.4,-2.14038
-0.266398,-4.87895,-39524.2,15602.7,1,1,0.39468,0,2.4,-2.13532
-0.217409,-4.76245,-39524.2,15802.7,1,1,0.39974,0,2.4,-2.13026
-0.16842,-4.64594,-39524.2,16002.7,1,1,0.4048,0,2.4,-2.1252
-0.119431,-4.52944,-39524.2,16202.7,1,1,0.40986,0,2.4,-2.12014
-0.0677666,-4.40691,-39524.2,16402.7,1,1,0.41492,0,2.4,-2.11508
