electric field:0,electric field:1,electric field:2,potential,GeometryIds,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0.00439753,0.771353,-39461.5,0.0039893,3,1,0,0,2.4,-2.531
0.0236344,0.954835,-39461.4,199.758,3,1,0.00506186,0,2.4,-2.52594
0.0911,1.80615,-39461.3,399.511,3,1,0.010124,0,2.4,-2.52088
0.160107,2.70144,-39461.3,599.255,3,1,0.0151858,0,2.4,-2.51581
0.229117,3.59679,-39461.3,799.009,3,1,0.0202479,0,2.4,-2.51075
0.319984,4.55729,-39461.2,998.752,3,1,0.0253098,0,2.4,-2.50569
0.670077,6.33067,-39461.1,1198.5,3,1,0.0303719,0,2.4,-2.50063
0.753433,6.80655,-39460.9,1398.26,1,1,0.035434,0,2.4,-2.49557
0.796382,7.17073,-39460.6,1598.01,1,1,0.0404959,0,2.4,-2.4905
0.82117,7.47641,-39460.3,1797.76,1,1,0.045558,0,2.4,-2.48544
0.845957,7.78207,-39460,1997.51,1,1,0.0506198,0,2.4,-2.48038
0.870745,8.08775,-39459.7,2197.27,1,1,0.0556819,0,2.4,-2.47532
0.902028,8.39251,-39459.5,2397.02,1,1,0.0607438,0,2.4,-2.47026
0.953986,8.6944,-39459.4,2596.76,1,1,0.0658059,0,2.4,-2.46519
1.00594,8.99629,-39459.4,2796.5,1,1,0.070868,0,2.4,-2.46013
1.0579,9.29817,-39459.3,2996.24,1,1,0.0759299,0,2.4,-2.45507
1.10986,9.60006,-39459.2,3195.98,1,1,0.080992,0,2.4,-2.45001
1.16181,9.90194,-39459.2,3395.72,1,1,0.0860538,0,2.4,-2.44495
1.14318,10.1127,-39459.2,3595.48,1,1,0.091116,0,2.4,-2.43988
1.08718,10.3286,-39459.4,3795.27,1,1,0.0961778,0,2.4,-2.43482
1.03118,10.5445,-39459.6,3995.07,1,1,0.10124,0,2.4,-2.42976
1.05159,10.8915,-39459.7,4194.83,1,1,0.106302,0,2.4,-2.4247
1.12889,11.3363,-39459.7,4394.58,1,1,0.111364,0,2.4,-2.41964
1.20619,11.781,-39459.8,4594.34,1,1,0.116426,0,2.4,-2.41457
1.28348,12.2257,-39459.8,4794.08,1,1,0.121488,0,2.4,-2.40951
