electric field:0,electric field:1,electric field:2,potential,GeometryIds,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0.00033488,-0.00100601,-39505.6,0,202,1,0,0,0,-2.531
-0.00123723,-0.000894423,-39505.6,199.979,3,1,0.00506186,0,0,-2.52594
-0.00142756,-0.000543062,-39505.6,399.955,3,1,0.010124,0,0,-2.52088
-0.000449842,-0.000524998,-39505.6,599.931,3,1,0.0151858,0,0,-2.51581
0.000390268,-0.000677996,-39505.6,799.906,3,1,0.0202479,0,0,-2.51075
0.000850894,-0.000282963,-39505.7,999.882,3,1,0.0253098,0,0,-2.50569
0.000773506,0.000245256,-39505.7,1199.86,3,1,0.0303719,0,0,-2.50063
0.000703008,0.000336692,-39505.7,1399.87,1,1,0.035434,0,0,-2.49557
0.00070195,0.000347348,-39505.7,1599.84,1,1,0.0404959,0,0,-2.4905
0.000728354,0.000348955,-39505.7,1799.81,1,1,0.045558,0,0,-2.48544
0.000782217,0.000341514,-39505.7,1999.78,1,1,0.0506198,0,0,-2.48038
0.000922065,0.000210186,-39505.7,2199.79,1,1,0.0556819,0,0,-2.47532
0.00108426,-7.41E-06,-39505.7,2399.75,1,1,0.0607438,0,0,-2.47026
0.00121819,-0.000233563,-39505.7,2599.73,1,1,0.0658059,0,0,-2.46519
0.00132387,-0.000468252,-39505.7,2799.7,1,1,0.070868,0,0,-2.46013
0.00140128,-0.000711467,-39505.7,2999.67,1,1,0.0759299,0,0,-2.45507
0.00145055,-0.0009632,-39505.7,3199.65,1,1,0.080992,0,0,-2.45001
0.00147144,-0.00122348,-39505.7,3399.61,1,1,0.0860538,0,0,-2.44495
0.00146408,-0.0014923,-39505.7,3599.58,1,1,0.091116,0,0,-2.43988
0.00142845,-0.00176966,-39505.7,3799.54,1,1,0.0961778,0,0,-2.43482
0.00114782,-0.00209126,-39505.7,3999.51,1,1,0.10124,0,0,-2.42976
0.000449513,-0.0023643,-39505.7,4199.47,1,1,0.106302,0,0,-2.4247
-0.00047572,-0.00251476,-39505.7,4399.47,1,1,0.111364,0,0,-2.41964
-0.0016282,-0.00254305,-39505.7,4599.45,1,1,0.116426,0,0,-2.41457
-0.00131842,-0.00199212,-39505.7,4799.46,1,1,0.121488,0,0,-2.40951
-0.00046396,-0.00131504,-39505.7,4999.44,1,1,0.12655,0,0,-2.40445
0.000365302,-0.000696974,-39505.7,5199.4,1,1,0.131612,0,0,-2.39939
0.00116944,-0.000137872,-39505.7,5399.38,1,1,0.136674,0,0,-2.39433
0.00193733,0.000449787,-39505.7,5599.41,1,1,0.141736,0,0,-2.38926
0.00256579,0.0011676,-39505.7,5799.39,1,1,0.146798,0,0,-2.3842
0.00303537,0.00180433,-39505.7,5999.36,1,1,0.15186,0,0,-2.37914
0.00334604,0.00235996,-39505.7,6199.33,1,1,0.156922,0,0,-2.37408
0.00349784,0.00283453,-39505.7,6399.3,1,1,0.161984,0,0,-2.36902
0.00349073,0.00322771,-39505.8,6599.28,1,1,0.167046,0,0,-2.36395
0.00332476,0.0035401,-39505.8,6799.25,1,1,0.172108,0,0,-2.35889
0.00299993,0.0037714,-39505.8,6999.21,1,1,0.17717,0,0,-2.35383
0.00251621,0.00392163,-39505.8,7199.18,1,1,0.182232,0,0,-2.34877
0.0018736,0.00399079,-39505.8,7399.15,1,1,0.187294,0,0,-2.34371
0.00107207,0.00397919,-39505.8,7599.13,1,1,0.192356,0,0,-2.33864
0.000111662,0.00388619,-39505.8,7799.11,1,1,0.197418,0,0,-2.33358
-0.00100758,0.00371211,-39505.8,7999.08,1,1,0.20248,0,0,-2.32852
-0.0022859,0.00345708,-39505.8,8199.07,1,1,0.207542,0,0,-2.32346
-0.00362554,0.00288743,-39505.8,8399.06,1,1,0.212604,0,0,-2.3184
-0.00494447,0.00184303,-39505.8,8599.04,1,1,0.217666,0,0,-2.31333
-0.00640068,0.000715957,-39505.8,8799.02,1,1,0.222728,0,0,-2.30827
-0.00775586,-0.000439135,-39505.9,8999,1,1,0.22779,0,0,-2.30321
-0.00531049,-0.000598947,-39505.9,9199,1,1,0.232852,0,0,-2.29815
-0.00415629,-0.0023228,-39505.9,9398.97,1,1,0.237914,0,0,-2.29309
-0.00284695,-0.00383848,-39505.9,9598.95,1,1,0.242976,0,0,-2.28802
-0.00107952,-0.00540579,-39505.9,9798.92,1,1,0.248038,0,0,-2.28296
0.00078101,-0.00688479,-39505.9,9998.9,1,1,0.2531,0,0,-2.2779
0.00257752,-0.0082112,-39505.9,10198.9,1,1,0.258162,0,0,-2.27284
0.00184018,-0.00835903,-39505.9,10398.9,1,1,0.263224,0,0,-2.26778
0.00113064,-0.0083622,-39505.9,10598.9,1,1,0.268286,0,0,-2.26271
0.000448933,-0.00822072,-39505.9,10798.8,1,1,0.273348,0,0,-2.25765
-0.00020501,-0.00793458,-39505.9,10998.8,1,1,0.27841,0,0,-2.25259
-0.000368082,-0.00705082,-39505.9,11198.8,1,1,0.283472,0,0,-2.24753
0.000785894,-0.00500012,-39506,11398.8,1,1,0.288534,0,0,-2.24247
0.00200004,-0.00315319,-39506,11598.7,1,1,0.293596,0,0,-2.2374
0.00327509,-0.00151024,-39506,11798.7,1,1,0.298658,0,0,-2.23234
0.00460973,-7.07E-05,-39506,11998.7,1,1,0.30372,0,0,-2.22728
0.00600394,0.00116563,-39506,12198.7,1,1,0.308782,0,0,-2.22222
0.00745905,0.00219787,-39506,12398.6,1,1,0.313844,0,0,-2.21716
0.00897432,0.00302638,-39506,12598.6,1,1,0.318906,0,0,-2.21209
0.00936117,0.00361221,-39506.1,12798.6,1,1,0.323968,0,0,-2.20703
