"electric field:0","electric field:1","electric field:2","potential","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00167693,-0.00410925,-39443.7,0.0133914,3,1,0,0,0,-2.534
-0.00297814,-0.00267895,-39443.7,199.901,3,1,0.00506783,0,0,-2.52893
-0.00415637,-0.00115496,-39443.7,399.798,3,1,0.0101359,0,0,-2.52386
-0.00160456,-0.000261553,-39443.7,599.706,3,1,0.015204,0,0,-2.5188
0.00211069,-0.00114289,-39443.7,799.603,3,1,0.020272,0,0,-2.51373
0.00430757,-0.00259763,-39443.7,999.501,3,1,0.0253398,0,0,-2.50866
0.00352431,-0.0049014,-39443.7,1199.4,3,1,0.0304079,0,0,-2.50359
-2.39397e-05,-0.00520118,-39443.8,1399.33,1,1,0.035476,0,0,-2.49852
-0.00360692,0.000351813,-39443.8,1599.23,1,1,0.040544,0,0,-2.49346
-0.00680481,0.00544277,-39443.8,1799.12,1,1,0.0456119,0,0,-2.48839
-0.00783698,0.00636124,-39443.8,1999.04,1,1,0.0506799,0,0,-2.48332
-0.00836961,0.00622247,-39443.8,2198.94,1,1,0.055748,0,0,-2.47825
-0.0090013,0.00622934,-39443.8,2398.83,1,1,0.0608158,0,0,-2.47318
-0.00973212,0.00638186,-39443.8,2598.73,1,1,0.0658839,0,0,-2.46812
-0.010562,0.00668001,-39443.8,2798.63,1,1,0.0709519,0,0,-2.46305
-0.011491,0.00712381,-39443.8,2998.52,1,1,0.07602,0,0,-2.45798
-0.0125183,0.00771307,-39443.8,3198.41,1,1,0.0810878,0,0,-2.45291
-0.0136454,0.00844812,-39443.9,3398.3,1,1,0.0861559,0,0,-2.44784
-0.0148716,0.00932881,-39443.9,3598.2,1,1,0.091224,0,0,-2.44278
-0.0161969,0.0103551,-39443.9,3798.09,1,1,0.096292,0,0,-2.43771
-0.0149696,0.011342,-39443.9,3998.04,1,1,0.10136,0,0,-2.43264
-0.0124426,0.0125804,-39443.9,4197.94,1,1,0.106428,0,0,-2.42757
-0.0101617,0.0142251,-39443.9,4397.83,1,1,0.111496,0,0,-2.4225
-0.00812615,0.0162757,-39443.9,4597.72,1,1,0.116564,0,0,-2.41744
-0.00633761,0.0187327,-39443.9,4797.61,1,1,0.121632,0,0,-2.41237
-0.0047952,0.021596,-39444,4997.51,1,1,0.1267,0,0,-2.4073
-0.003499,0.0248656,-39444,5197.41,1,1,0.131768,0,0,-2.40223
-0.0045123,0.0270652,-39444,5397.35,1,1,0.136836,0,0,-2.39716
-0.00692167,0.0283297,-39444,5597.25,1,1,0.141904,0,0,-2.3921
-0.0101614,0.0289943,-39444.1,5797.16,1,1,0.146972,0,0,-2.38703
